    9.60  42.55    0    5  0.00000E+00  0.48702E+07 5192
    6.40  43.05    0   13  0.00000E+00  0.45433E+07 5193
    7.20  43.65    0   21  0.00000E+00  0.47917E+07 5194
    8.70  42.55    0   25  0.00000E+00  0.47250E+07 5195
    7.00  43.55    0  157  0.00000E+00  0.47273E+07 5196
    5.50  43.15    0    5  0.00000E+00  0.43312E+07 5197
    6.50  43.15    0    9  0.00000E+00  0.49583E+07 5198
    5.20  43.25    0    1  0.00000E+00  0.70000E+07 5199
    3.10  42.55    0   12  0.00000E+00  0.48781E+07 5200
    6.80  43.35    0   81  0.00000E+00  0.47341E+07 5201
    3.10  43.05    0    9  0.00000E+00  0.48125E+07 5203
    6.20  43.05    0   19  0.00000E+00  0.48155E+07 5204
    5.00  43.35    0    9  0.00000E+00  0.48125E+07 5205
    5.60  43.15    0    9  0.00000E+00  0.48611E+07 5206
    4.10  43.45    0   11  0.00000E+00  0.47727E+07 5207
    6.30  43.05    0    6  0.00000E+00  0.51042E+07 5208
    4.00  43.45    0  121  0.00000E+00  0.47004E+07 5209
    4.00  43.45    0    2  0.00000E+00  0.49241E+07 5210
    3.10  42.75    0    8  0.00000E+00  0.44784E+07 5211
    4.10  43.45    0    6  0.00000E+00  0.44479E+07 5212
    3.10  42.85    0    4  0.00000E+00  0.45719E+07 5213
    5.20  43.25    0   13  0.00000E+00  0.46197E+07 5214
    5.30  43.25    0  256  0.00000E+00  0.47180E+07 5215
    5.00  43.35    0   11  0.00000E+00  0.48268E+07 5216
    7.50  43.75    0   10  0.00000E+00  0.49074E+07 5217
    3.20  43.15    0    3  0.00000E+00  0.40833E+07 5218
    7.30  43.65    0  120  0.00000E+00  0.47259E+07 5219
    3.90  43.45    0    7  0.00000E+00  0.46875E+07 5220
    8.70  41.85    0   14  0.00000E+00  0.47812E+07 5221
    3.10  43.05    0    2  0.00000E+00  0.48803E+07 5222
    9.40  41.55    0    4  0.00000E+00  0.49219E+07 5223
    8.80  41.65    0   12  0.00000E+00  0.45789E+07 5224
    6.70  43.25    0    3  0.00000E+00  0.45938E+07 5225
    5.20  43.25    0    3  0.00000E+00  0.46667E+07 5226
    7.50  43.75    0    8  0.00000E+00  0.44812E+07 5227
    6.70  43.35    0    7  0.00000E+00  0.47456E+07 5228
    5.00  43.35    0    8  0.00000E+00  0.49219E+07 5229
    6.70  43.25    0    5  0.00000E+00  0.48422E+07 5230
    4.40  43.35    0    3  0.00000E+00  0.43750E+07 5231
    6.70  43.25    0    5  0.00000E+00  0.44975E+07 5232
    5.70  43.15    0   10  0.00000E+00  0.48125E+07 5233
    9.60  42.35    0    2  0.00000E+00  0.41278E+07 5234
    5.10  43.25    0    5  0.00000E+00  0.45500E+07 5235
    3.70  43.35    0   25  0.00000E+00  0.47250E+07 5236
    3.10  42.65    0   12  0.00000E+00  0.48125E+07 5237
    5.70  43.15    0   10  0.00000E+00  0.44953E+07 5238
    6.80  43.35    0   19  0.00000E+00  0.46421E+07 5239
    4.40  43.35    0    1  0.00000E+00  0.52500E+07 5240
    6.00  43.05    0   23  0.00000E+00  0.47263E+07 5241
    5.90  43.05    0   74  0.00000E+00  0.47297E+07 5242
    7.10  43.55    0   21  0.00000E+00  0.46875E+07 5243
    3.30  43.25    0   10  0.00000E+00  0.46375E+07 5244
    3.30  43.25    0    3  0.00000E+00  0.39594E+07 5245
    23.10  37.25    5   30  0.56980E+07  0.47762E+07 5246
    20.90  38.65    0    3  0.00000E+00  0.48067E+07 5247
    22.90  39.15    0    1  0.00000E+00  0.52850E+07 5248
    25.30  35.35    0    3  0.00000E+00  0.42642E+07 5250
