    3.30  43.25    2  0.21980E+05 8245
    21.00  37.75    1  0.27226E+05 8363
    21.50  37.15    1  0.28044E+05 8370
    24.30  40.75    1  0.30826E+05 8377
    23.90  37.65    1  0.29773E+05 8380
    23.40  37.75    1  0.30573E+05 8381
    28.10  36.45    1  0.29004E+05 8382
    24.10  37.75    1  0.34664E+05 8383
    23.80  38.75    1  0.34977E+05 8386
    21.20  37.95    2  0.20618E+05 8390
    25.40  36.45    2  0.27537E+05 8391
    25.90  40.75    6  0.25276E+05 8392
    23.10  40.25    3  0.22249E+05 8393
    23.30  37.95    2  0.30336E+05 8394
    23.70  37.85   44  0.25853E+05 8395
    28.20  36.45    8  0.25220E+05 8396
    25.80  35.15    2  0.30676E+05 8397
    25.20  35.35    2  0.22236E+05 8399
    21.30  37.75    3  0.23257E+05 8400
    22.80  37.55    6  0.26771E+05 8401
    20.40  38.15    3  0.28224E+05 8402
    24.10  37.95    6  0.25666E+05 8403
    24.00  35.55    7  0.26153E+05 8405
    25.40  35.35    5  0.23277E+05 8406
    26.20  38.35    4  0.24895E+05 8407
    23.40  37.95    6  0.26045E+05 8408
    25.00  37.45    3  0.28784E+05 8409
    22.80  40.55    5  0.26148E+05 8410
    25.70  34.95    2  0.31680E+05 8411
    20.20  39.45    4  0.22704E+05 8412
    25.10  35.35    8  0.26860E+05 8413
    22.10  36.95    6  0.27725E+05 8414
    23.50  40.05    2  0.27537E+05 8415
    26.90  36.95    2  0.28956E+05 8416
    22.60  40.25    7  0.25439E+05 8417
    21.40  38.25    2  0.27537E+05 8418
    24.40  40.85    6  0.26045E+05 8419
    19.90  39.65    5  0.24688E+05 8420
    23.00  37.85    2  0.27537E+05 8421
    23.00  37.85    5  0.27189E+05 8422
    27.30  36.95    4  0.25924E+05 8423
    20.70  38.85    2  0.19790E+05 8425
    20.10  39.45    2  0.28956E+05 8426
    22.60  40.15    6  0.24460E+05 8427
    25.50  35.35    2  0.27537E+05 8428
    21.40  38.25    2  0.26077E+05 8429
    23.70  37.85   12  0.25570E+05 8430
    25.30  37.45    3  0.27510E+05 8431
    26.60  39.15    4  0.25273E+05 8432
    24.00  35.55    5  0.25220E+05 8433
    25.20  37.15    2  0.27537E+05 8435
